# geoip6.tsv  start 	 end 	 country (/前缀 20 聚合)
24084000000000000000000000000000	24084fffffffffffffffffffffffffff	中国
24086000000000000000000000000000	24086fffffffffffffffffffffffffff	中国
24088000000000000000000000000000	24088fffffffffffffffffffffffffff	中国
24089000000000000000000000000000	24089fffffffffffffffffffffffffff	Australia
24090000000000000000000000000000	24090fffffffffffffffffffffffffff	India
24091000000000000000000000000000	24091fffffffffffffffffffffffffff	中国
24092000000000000000000000000000	24092fffffffffffffffffffffffffff	Singapore
24094000000000000000000000000000	24094fffffffffffffffffffffffffff	India
24096000000000000000000000000000	24096fffffffffffffffffffffffffff	中国
24097000000000000000000000000000	24097fffffffffffffffffffffffffff	Australia
24098000000000000000000000000000	24098fffffffffffffffffffffffffff	中国
24099000000000000000000000000000	24099fffffffffffffffffffffffffff	Australia
240a0000000000000000000000000000	240a0fffffffffffffffffffffffffff	Japan
240a2000000000000000000000000000	240a2fffffffffffffffffffffffffff	中国
240a4000000000000000000000000000	240a4fffffffffffffffffffffffffff	中国
240a6000000000000000000000000000	240a6fffffffffffffffffffffffffff	中国
240a8000000000000000000000000000	240a8fffffffffffffffffffffffffff	中国
240aa000000000000000000000000000	240aafffffffffffffffffffffffffff	中国
240ab000000000000000000000000000	240abfffffffffffffffffffffffffff	Australia
240ac000000000000000000000000000	240acfffffffffffffffffffffffffff	中国
240ad000000000000000000000000000	240adfffffffffffffffffffffffffff	Australia
240ae000000000000000000000000000	240aefffffffffffffffffffffffffff	India
240af000000000000000000000000000	240affffffffffffffffffffffffffff	Australia
240b0000000000000000000000000000	240b0fffffffffffffffffffffffffff	Japan
240b2000000000000000000000000000	240b2fffffffffffffffffffffffffff	中国
240b4000000000000000000000000000	240b4fffffffffffffffffffffffffff	Singapore
240b6000000000000000000000000000	240b6fffffffffffffffffffffffffff	中国
240b7000000000000000000000000000	240b7fffffffffffffffffffffffffff	Australia
240b8000000000000000000000000000	240b8fffffffffffffffffffffffffff	中国
240ba000000000000000000000000000	240bafffffffffffffffffffffffffff	中国
240bc000000000000000000000000000	240bcfffffffffffffffffffffffffff	Japan
240be000000000000000000000000000	240befffffffffffffffffffffffffff	中国
240c0000000000000000000000000000	240c0fffffffffffffffffffffffffff	中国
240c4000000000000000000000000000	240c4fffffffffffffffffffffffffff	中国
240c8000000000000000000000000000	240c8fffffffffffffffffffffffffff	中国
240cc000000000000000000000000000	240ccfffffffffffffffffffffffffff	中国
240cd000000000000000000000000000	240cdfffffffffffffffffffffffffff	Australia
240d0000000000000000000000000000	240d0fffffffffffffffffffffffffff	Japan
240d4000000000000000000000000000	240d4fffffffffffffffffffffffffff	中国
240d8000000000000000000000000000	240d8fffffffffffffffffffffffffff	中国
240dc000000000000000000000000000	240dcfffffffffffffffffffffffffff	Singapore
240e0000000000000000000000000000	240e0fffffffffffffffffffffffffff	中国
240e4000000000000000000000000000	240e4fffffffffffffffffffffffffff	Australia
240f0000000000000000000000000000	240f0fffffffffffffffffffffffffff	Japan
240f4000000000000000000000000000	240f4fffffffffffffffffffffffffff	中国
240f8000000000000000000000000000	240f8fffffffffffffffffffffffffff	中国
240fc000000000000000000000000000	240fcfffffffffffffffffffffffffff	中国
26000000000000000000000000000000	26000fffffffffffffffffffffffffff	United States
26001000000000000000000000000000	26001fffffffffffffffffffffffffff	United States
26002000000000000000000000000000	26002fffffffffffffffffffffffffff	United States
26003000000000000000000000000000	26003fffffffffffffffffffffffffff	United States
26004000000000000000000000000000	26004fffffffffffffffffffffffffff	United States
26005000000000000000000000000000	26005fffffffffffffffffffffffffff	United States
26006000000000000000000000000000	26006fffffffffffffffffffffffffff	United States
26007000000000000000000000000000	26007fffffffffffffffffffffffffff	United States
26008000000000000000000000000000	26008fffffffffffffffffffffffffff	United States
26009000000000000000000000000000	26009fffffffffffffffffffffffffff	United States
2600a000000000000000000000000000	2600afffffffffffffffffffffffffff	United States
2600b000000000000000000000000000	2600bfffffffffffffffffffffffffff	United States
2600c000000000000000000000000000	2600cfffffffffffffffffffffffffff	United States
2600d000000000000000000000000000	2600dfffffffffffffffffffffffffff	United States
2600e000000000000000000000000000	2600efffffffffffffffffffffffffff	Canada
2600f000000000000000000000000000	2600ffffffffffffffffffffffffffff	United States
26010000000000000000000000000000	26010fffffffffffffffffffffffffff	United States
26011000000000000000000000000000	26011fffffffffffffffffffffffffff	United States
26012000000000000000000000000000	26012fffffffffffffffffffffffffff	United States
26013000000000000000000000000000	26013fffffffffffffffffffffffffff	United States
26014000000000000000000000000000	26014fffffffffffffffffffffffffff	United States
26015000000000000000000000000000	26015fffffffffffffffffffffffffff	United States
26016000000000000000000000000000	26016fffffffffffffffffffffffffff	United States
26018000000000000000000000000000	26018fffffffffffffffffffffffffff	United States
26019000000000000000000000000000	26019fffffffffffffffffffffffffff	United States
2601a000000000000000000000000000	2601afffffffffffffffffffffffffff	United States
2601b000000000000000000000000000	2601bfffffffffffffffffffffffffff	United States
2601c000000000000000000000000000	2601cfffffffffffffffffffffffffff	United States
2601d000000000000000000000000000	2601dfffffffffffffffffffffffffff	United States
2601e000000000000000000000000000	2601efffffffffffffffffffffffffff	United States
2601f000000000000000000000000000	2601ffffffffffffffffffffffffffff	United States
26020000000000000000000000000000	26020fffffffffffffffffffffffffff	United States
2602f000000000000000000000000000	2602ffffffffffffffffffffffffffff	United States
26030000000000000000000000000000	26030fffffffffffffffffffffffffff	United States
26031000000000000000000000000000	26031fffffffffffffffffffffffffff	South Africa
26032000000000000000000000000000	26032fffffffffffffffffffffffffff	United States
26033000000000000000000000000000	26033fffffffffffffffffffffffffff	United States
26034000000000000000000000000000	26034fffffffffffffffffffffffffff	United States
